bundle ID,intent
422,Gluten-free foods 
423,bread mixes
424,Indulgent Sweet Treats
425,Rooibos Tea Selection Only
426,Ready Meal
427,Diverse Mayonnaise Options
428,Diverse Pasta Side Selections
429,Enhanced Chia Breakfast Variety
430,Chia-Based Quick Breakfasts
431,Unique Fruit Flavor Collection
432,Diverse Nutrient-Dense Snacks
433,Tropical Snack Variety Enhancement
434,Savory Pasta and Soup Essentials
435,Pasta
436,Specialized Infant Nutrition Solutions
437,Mediterranean Mezze Platter Essentials
438,Complete Nutritious Meal Base
439,Diverse Sweet Snack Options
440,Beverage
441,Focused Coffee Cocktail Enhancements
442,Coffee and Snack Pairing
443,Versatile Coffee Experience
444,making coffee
445,Indulgent Sweet Treats Pack
446,coffee
447,popcorn
448,Cohesive Flavoring Options
449,Cheese Snack Pairing Experience
450,Nutritious Snack Variety Enhancement
451,Focused Decaffeinated Beverage Selection
452,"Understand the intent of those queries. Behind every query is a specific intent.
"
453,Diverse chocolate flavor collection
454,Low-Carb Baking Essentials
455,Peanut Snack Variety Pack
456,Balanced Protein Breakfast Essentials
457,Citrus Flavoring Variety Expansion
458,Nuts
459,Savoury Snacks
460,Blue Diamond Almond
461,Nut Spread Exploration Variety
462,Almond Snack Variety Pack
463,Peanut Butter and Honey Variety
464,Diverse Chocolate Experience
465,baby food
466,baby food
467,Health-Conscious Beverage Selection
468,Essential Baking Ingredients
469,Sour Candy Variety Selection
470,Health-Conscious Beverage Variety
471,Essential Healthy Baking Ingredients
472,Gourmet Muffin Flavor Enhancements
473,Whole bean coffee
474,Diverse Sugar-Free Candy Selection
475,Hot sauce
476,Popcorn Experience Enhancement
477,Cohesive Chewy Snack Pack
478,Fruity Chewy Candy Selection
479,Hot beverage contents 
480,Pre-made waffle mixes
481,Fruits Cups
482,Traditional Passover Meal Package
483,Microwaveable meal solutions
484,Flax Snax
485,Indulgent Candy Snack Assortment
486,Diverse Green Tea Varieties
487,Whole Grain Bread Essentials
488,Inclusive Breakfast Options
489,coffee user
490,Soup and Crackers
491,Essential Baking Decoration Tools
492,Versatile Cupcake Flavoring
493,Diverse Hydration Options
494,tea
495,Balanced Snack Variety
496,Diverse Baby Meal Options
497,Traditional Caffeinated Beverages
498,Different flavors of mix
499,Distinct Flavored Coffee Experience
500,Diverse Coffee Preparation Options
501,Sugar-Free Confectionery Variety
502,Essential Pastry Baking Ingredients
503,Gluten-Free Sweet Snack Collection
504,candy
505,dried fruits
506,Balanced Snack Assortment
507,Cohesive Unsweetened Tea Selection
508,Teas' Tea
509,Fruit juice
510,Diverse Juice Selection
511,Curated Gourmet Gift Selection
512,Coffee Flavor Exploration
513,snack
514,tea
515,Curated Tea Experience
516,Tropical Flavor Experience
517,Nutritious Black Bean Dish
518,Diverse Healthy Grain Selection
519,Legume-Centric Meal Solutions
520,Healthy Muffin Baking Essentials
521,Fruit Preserves for Baking
522,Tropical Tonic Beverage Enhancement
523,Mediterranean Flavor Enhancers
524,Italian Savory Cooking Essentials
525,Diverse Coffee Exploration
526,Traditional Tea Experience Enhancement
527,Café Beignet Enhancements
528,Complete Beignet Preparation Essentials
529,Traditional Japanese Soup Selection
530,Ramen Meal Enhancements
531,Quick Meal with Protein
532,Essential Chicken Soup Ingredients
533,Low-Carb Dessert Essentials
534,Essential Gluten-Free Baking
535,Complete Plant-Based Meal Essentials
536,Essential Brownie Baking Ingredients
537,Hearty Chili Preparation
538,Savory Sauce Enhancers
539,Gluten-Free Baking Mixes
540,Gluten-Free Baking Essentials
541,Simple Snack Variety Pack
542,Snack Alternatives for Quick Meals
543,Savory Snack Experience
544,Gift basket
545,food for party
546,Cohesive Spice Collection
547,Balanced Tea Exploration
548,Diverse Chocolate Experience
549,Seafood Snack Variety Pack
550,seafood flavored snacks
551,Comprehensive Organic Baking Essentials
552,Apple Cider K-Cup
553,to drink
554,Colombian Coffee Selection
555,Vegan Baking Essentials
556,Coconut Milk Cooking Essentials
557,Diverse Biscuit and Chocolate Pairing
558,Quick Meal Flavor Enhancements
559,fruit
560,Organic
561,Comprehensive Indian Spice Collection
562,Natural Sweeteners Variety
563,Healthy Baking Ingredients
564,Health-Conscious Tea Selection
565,Essential Gluten-Free Muffin Ingredients
566,flakes
567,Essential Cookie Baking Ingredients
568,Japanese Cooking Essentials
569,kid food
570,snack food
571,Expanded Chocolate Variety
572,coconut
573,Savory Condiment Trio Enhancement
574,Versatile Savory Seasoning Collection
575,Complementary Sweet Spread Experience
576,Asian Salad Essentials
577,Enhanced Sweet Spread Variety
578,Sugar-Free Chocolate Treats
579,Diverse Coffee Exploration
580,tea
581,Balanced Plant-Based Essentials
582,Cozy Cocoa Experience
583,spaghetti
584,Coffee and Snack Pairing
585,For users hwo preferd to Natural and Organic Food
586,International Sauces
587,Asian Instant Noodle Selection
588,Instant Noodle Meal Variety
589,Citrus and Vanilla Baking Enhancers
590,Diverse Syrup Selection
591,Sugar free candy
592,Comprehensive Gluten-Free Baking Essentials
593,Gourmet Nut Snack Variety
594,Healthy Snack Assortment
595,coffee
596,Savory Snack Pairing Experience
597,Quick Vegan Meal Solutions
598,Expanded Vegan Soup Selection
599,Nutritional Essentials for Plant-Based Cooking
600,Nutritional breakfast toppings
601,Romanian
602,Romanian Meal Enhancement Essentials
603,Jelly-Based Nutritional Variety
604,Diverse Protein Snack Options
605,coffee
606,Diverse Seaweed Snack Selection
607,Coffee and Sweet Treats Pairing
608,Diverse Coffee Options
609,Coffee
610,Healthy grains and seeds
611,Coffee Experience Enhancers
612,Health items
613,Italian Pasta Preparation Essentials
614,Quick Vegan Ramen Meal
615,Gummy Candy Flavor Variety
616,Peanut Butter Experience Package
617,Gourmet Spread Enhancements
618,Diverse Tea Selection for K-Cups
619,Diverse Gluten-Free Snacks
620,Expanded Healthy Snack Variety
621,Different food for drinking
622,Asian-Inspired Quick Meal Kit
623,Essential Italian Cooking Ingredients
624,Candy and Coffee Lovers
625,Quick and Versatile Noodle Meals
626,expanded traditional cake flavors
627,Healthy Children's Snack Pack
628,Healthy Nut Snack Mix
629,Easter candy
630,Easter/holiday candy
631,Easter Chocolate Assortment
632,Diverse Infant Breakfast Options
633,Indulgent Christmas Treats Collection
634,Diverse K-Cup Selection
635,Diverse Sweet Snack Selection
636,Sweet Pastry Snack Variety
637,Indulgent Sweet Snack Variety
638,simply organic grilling season
639,Chocolate Indulgence Experience
640,Assorted Chocolate Treats
641,Indulgent Chocolate Snack Variety
642,Spicy Snack Experience
643,health food snack
644,Spicy Baking Essentials
645,Healthy Cooking Essentials
646,Snack Foods
647,Gluten-Free Bread Mixes Only
648,Ginger chews
649,Diverse Beverage Enhancements
650,Essential Gluten-Free Baking Set
651,snack food
652,Instant meals 
653,Coffee
654,Enhanced Dessert Experience
655,Protein Snack Variety Pack
656,Flour alternatives
657,Complete taco preparation essentials
658,Essential Gluten-Free Baking Ingredients
659,Savory Protein Snack Variety
660,Essential Savory Spice Duo
661,Essential Baking Staples Set
662,Gourmet Chocolate Dessert Creation
663,Family-Friendly Breakfast Solutions
664,candy
665,Savory Nut Snack Selection
666,Easter Candy
667,Chocolate Mint Coffee Experience
668,Creamy Coffee Experience
669,Savory Snack Variety Pack
670,Kizandy Candy
671,Different food for drinking
672,Diverse Nut Butter Options
673,Chocolate Cookie Variety Pack
674,Convenient ready-to-eat meals
675,Traditional Jewish Meal Experience
676,Decadent Cookie and Treats Collection
677,Passover
678,Sugary Snacks for Kids
679,Nostalgic Candy Party Pack
680,Flavouring for alcohol
681,Cocktail Flavor Enhancement Kit
682,Cultural Flavor Exploration Bundle
683,Culinary Exploration with Oils
684,Soup Meal Solutions
685,Complete Chili Meal Enhancement
686,Comprehensive Peanut Cooking Essentials
687,Canned goods
688,Jack Links Packages
689,Diverse Healthy Chewy Snacks
690,Essential Vegan Cooking Basics
691,Dinner
692,Gourmet Dark Chocolate Tasting Set
693,Health-Conscious Sweet Snacks
694,Healthier Brownie Selection
695,Healthy Dessert Alternatives
696,snack food
697,Gluten-Free Baking Essentials Complete
698,Different flavors of mix
699,Diverse Snack Experience
700,Complete Pasta Meal Kit
701,Italian Green Bean Side Dish
702,Savory and Sweet Snack Assortment
703,Complete Savory Pasta Meal
704,Versatile Angel Food Cake Preparation
705,Complete Asian Dinner Ingredients
706,Comprehensive Mushroom Cooking Kit
707,Essential Indian Spice Collection
708,Diverse Canned Tomato Flavors
709,Matcha Baking Essentials Upgrade
710,Healthy Baking Essentials
711,Coconut Cooking Essentials
712,different food of nuts
713,Convenient Protein Cooking Options
714,Diverse Wing Sauce Selection
715,flavor food
716,Traditional BBQ Meal Experience
717,Chocolate and Gummy Variety Pack
718,Energizing Drink Variety
719,Complete Tea Experience Essentials
720,Diverse Sweet Snack Selection
721,High-Protein Meat Snack Variety
722,fruit-flavored snack treats
723,Quick Japanese Meal Enhancer
724,Diverse Asian Candy Selection
725,Traditional Rice Cake Variety
726,Tea
727,Varied Vegan Meal Options
728,Quick and Flavorful Pasta Meals
729,Ready made food
730,Expanded Sweet Snack Variety
731,Diverse Premium Chocolate Selection
732,Light Indian Meal Snacks
733,Complete Indian Meal Experience
734,Prepared meals.
735,Complete Indian Rice Meal
736,Authentic Thai Meal Components
737,Quick and Nutritious Meals
738,Traditional Japanese Sweet Snacks
739,Diverse Refreshing Tea Options
740,Coffee
741,Bread  mix
742,Diverse Protein Snack Selection
743,Nutritious Wellness Snacks
744,Diverse Gluten-Free Snack Selection
745,Gluten-Free Snack Pairing
746,Enhanced Ghee Cooking Experience
747,Organic Products/Healthy
748,Healthy Breakfast Base Ingredients
749,Coconut products
750,Coconut-Based Baking Essentials
751,Essential Chinese Cooking Staples
752,Flavorful Healthy Cooking
753,Casual Juice Variety
754,snacks
755,cookies
756,Complete Spring Roll Kit
757,Complete Spring Roll Ingredients
758,Coffee Variety Selection
759,Quick nutritious breakfast options
760,spice
761,Coconut Sweetener Collection
762,Natural Sweetening Agents Only
763,Baking
764,Essential Creamy Baking Ingredients
765,Diverse Flavor Enhancers
766,Essential Baking Ingredients Set
767,breakfast items
768,Diverse Pickled Meat Selection
769,k cup coffee
770,Complete breakfast experience
771,Sahale snacks
772,Citrus Spread Focus
773,Essential Gluten-Free Staples
774,Enhanced Chai Latte Experience
775,Chai Latte Preparation Options
776,fruit snacks
777,Comprehensive Gluten-Free Baking Essentials
778,Comprehensive Sweet Baking Essentials
779,xanham gumm and gluten free ounces 
780,juice
781,Peanut Snack Flavor Variety
782,Balanced Coffee Flavor Experience
783,Essential Gluten-Free Ingredients
784,cheese
785,Low-Sugar Dessert Mixes Only
786,Low-Calorie Dessert Options
787,coconut oil
788,snack products
789,Expanded Muffin Flavor Selection
790,Diverse Sweetening Options
791,Substantial Healthy Snack Bars
792,Kind packages
793,Healthy Snack Variety
794,Nutrient-Dense Snack Options
795,Cheese Snack Variety Pack
796,Comfort Food Side Dishes
797,Nut Variety for Healthy Snacking
798,Diverse Culinary Seasoning Experience
799,Essential Gluten-Free Baking Ingredients
800,different brands of coffee
801,Enhanced Oatmeal Meal Preparation
802,Convenient Healthy Snack Options
803,Varied Vegan Soup Selection
804,Diverse Dried Vegetable Essentials
805,Natural Sweetening Options
806,Diverse Flavored Coffee Selection
807,Diverse Flavored Coffee Selection
808,Breakfast Cereals
809,Snack Pairing for Gatherings
810,Indulgent Movie Night Snacks
811,SPREADS
812,Diverse Herbal Tea Selection
813,Sweet and Spicy Treats
814,Nostalgic Licorice Variety Pack
815,Diverse Coffee and Cocoa Experience
816,Curated Warm Beverage Selection
817,Brownie Flavor Customization Kit
818,Curry paste
819,Thai Curry Essentials and Complements
820,Variety of Maple Treats
821,Diverse Sour Candy Selection
822,Traditional Romanian Cheese Pairings
823,Diverse Spicy Noodle Experience
824,Quick Asian Meal Solutions
825,Sugar-Free Caramel Variety Pack
826,Fish Protein Variety Pack
827,Sweeteners
828,Diverse Hot Cocoa Experience
829,Sweetening Beverage Options
830,Diverse Sweetener Options
831,Diverse Tea Experience
832,Sweet Baking Essentials
833,Savory Spice Essentials
834,cooking
835,sweets
836,Fruit-flavored candy assortment
837,Whole Nut Snack Selection
838,Diverse Nut Snack Selection
839,baby food
840,Citrus-flavored snack variety
841,jam
842,Gourmet Flavor Enhancers Collection
843,Expanded Sweet and Spicy Collection
844,Eating chocolate
845,Essential Cooking Ingredients
846,Diverse Herbal Tea Experience
847,Diverse Sweet Snack Collection
848,Balanced Sweet and Savory Snacks
849,Diverse beef jerky tasting experience
850,Diverse Gluten-Free Flours
851,Protein-Rich Gluten-Free Breakfast
852,Variety of Gluten-Free Cookies
853,Popcorn-Centric Movie Night
854,Nutrient-Dense Juice Collection
855,Curated Tea Experience
856,Ginger Candy Variety Pack
857,Dehydrated Snack Variety Pack
858,Cheese Snack Pairing Variety
859,SNACK ITEM
860,Classic Candy Experience
861,Healthy Gluten-Free Snack Options
862,Indulgent Candy Selection
863,Diverse Popcorn Flavoring Options
864,Gluten-Free Snack Variety Platter
865,Coffee Capsules
866,glass globe
867,Traditional Coffee Breakfast Essentials
868,FRUITS SLICES
869,Tropical Dried Fruit Medley
870,Savory Snack Selection
871,indian food
872,Essential Middle Eastern Spices
873,Traditional Pasta Seasoning Collection
874,Tuna and crackers (common snack combo)
875,Tuna Meal Preparation Essentials
876,Diverse Energy Drink Selection
877,Dr Brown sodas
878,Unique Chocolate Tasting Experience
879,Summer Beverage Flavors
880,baking
881,Comprehensive Cake Baking Kit
882,Enhanced tea experience essentials
883,breakfast food options
884,Diverse Instant Coffee Options
885,snacks
886,Varied Healthy Snack Selection
887,Fertility Support Tea Collection
888,Pre-Conception Health Support
889,Alternative Baking Flours
890,Versatile Organic Spice Collection
891,Decadent Hot Cocoa Experience
892,Enhanced Cocoa Indulgence
893,Diverse Decaf Coffee Experience
894,Different flavors of soup
895,Different flavors of noodle
896,Unique Flavor Variety
897,Varied Healthy Nut Snacks
898,Snack foods
899,Healthy Snack Variety Pack
900,Coffee Preparation Essentials Set
901,Complete Bubble Tea Essentials
902,Chocolate Tasting Experience
903,Candy Treats Selection
904,Diverse Organic Snack Selection
905,Nostalgic Candy Experience
906,they are all alternatives for hot sauce
907,Organic Legume Spice Essentials
908,Dessert enhancement for cake
909,Expanded Festive Candy Selection
910,Gourmet Sweet Snack Selection
911,Festive Nut Snack Assortment
912,Sweet Snack Variety Pack
913,Cherry Jelly Pairing Essentials
914,Nuts
915,Diverse Candy Party Mix
916,Cherry Jelly Flavor Variety
917,beverages
918,Balanced Snack Variety Pack
919,Flavorful Low-Carb Meal Kit
920,Nutrient-Dense Beverage and Snack
921,Expanded soup variety selection
922,Children's Candy Party Pack
923,Interactive Candy Experience
924,Culinary Essentials for Curries
925,Nutrient-Rich Vegan Meal Components
926,Comprehensive Post-Workout Recovery
927,Balanced Plant-Based Meal Essentials
928,Different food of the snack
929,Dessert Preparation Essentials
930,Soy bar
931,Healthy snacking 
932,chocolate
933,Healthy Sweetening and Snacking
934,Comprehensive Healthy Cooking
935,Essential gluten-free baking ingredients
936,Coffee and Snack Experience
937,Complete Coffee Experience
938,Rice flour
939,Tropical Dessert Base Essentials
940,Spicy and Tangy Condiments
941,snacks
942,Quick Asian Meal Pairing
943,Essential Gluten-Free Baking Ingredients
944,noodles 
945,RICE
946,Indulgent Snack Variety Pack
947,Healthy Snack Essentials
948,Diverse Healthy Snack Mix
949,Balanced Seed Snack Collection
950,Diverse Salad Dressing Selection
