bundle ID,item ID,titles,categories
20,25016,"Decaf Tea Deluxe Variety Pack for Keurig K-Cup Brewers, 20 Count","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
20,10186,"Kicking Horse Coffee Three Sisters Medium, Whole Bean Coffee, 2.2-Pound Pouch","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Roasted Coffee Beans]]"
21,10186,"Kicking Horse Coffee Three Sisters Medium, Whole Bean Coffee, 2.2-Pound Pouch","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Roasted Coffee Beans]]"
21,12062,"Green Mountain Coffee Hazelnut Decaf, Light Roasted, K-Cup Portion Pack for Keurig K-Cup Brewers, 24-Count","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
21,42180,"San Francisco Bay Coffee Breakfast Blend, 80 OneCup Single Serve Cups","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
21,17513,"Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
22,22549,"Kellogg's Fruity Snacks, Mixed Berry, 16 Ounce (Pack of 6)","[[Grocery & Gourmet Food,Snack Foods,Fruit Snacks]]"
22,18764,"Kellogg's Harvest Acres Fruit Snacks, Mixed Fruit, 8 Ounce (Pack of 10)","[[Grocery & Gourmet Food,Snack Foods,Fruit Snacks]]"
23,22840,"Keebler Simply Made Cookies, Chocolate Chip, 10 Ounce","[[Grocery & Gourmet Food,Snack Foods,Cookies,Butter]]"
23,33922,"Keebler El Duende Sandwich Cookies, Lemon, 13 Ounce (Pack of 12)","[[Grocery & Gourmet Food,Snack Foods,Cookies,Sandwich]]"
23,3152,"Keebler El Duende Cookies, Coconut, 11 Ounce (Pack of 12)","[[Grocery & Gourmet Food,Snack Foods,Cookies,Sugar]]"
24,15174,"Cheez-It Cracker Cup, Original, 2.2 Ounce (Pack of 10)","[[Grocery & Gourmet Food,Snack Foods,Crackers,Assortments & Samplers]]"
24,35988,"Keebler Town House Pita Crackers, Mediterranean Herb, 9.5 Ounce","[[Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Pita]]"
25,36099,"Ferara Pasta, Penne (Mostacioli), 1-Pound (Pack of 20)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Pasta,Penne]]"
25,746,"Barilla Elbow Pasta, 16 Ounce Boxes (Pack of 16)","[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Pasta,Penne]]"
26,17629,"Jell-O Cook and Serve Pudding and Pie Filling, Lemon, 4.3-Ounce Boxes (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Pudding & Gelatin,Pudding]]"
26,37519,"Duncan Hines Signature Spice Cake Mix, 16.50-Ounce Boxes (Pack of 6)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Baking Mixes,Cakes]]"
27,22509,"The Spice Lab Ghost Pepper Salt Naga Jolokia- Really Hot, 4 oz.","[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Flavored Salt]]"
27,28314,Bhut Jolokia (Ghost) Powder - Very Hot,"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Mixed Spices & Seasonings,Chili Powder]]"
27,50988,Mad Dog 357 Ghost Pepper Hot Sauce,"[[Grocery & Gourmet Food,Sauces, Gravies & Marinades,Hot Sauce]]"
28,54340,Trader Joe's Apple &amp; Cinnamon Naturally Flavored Instant Oatmeal (2 Pack),"[[Grocery & Gourmet Food,Breakfast Foods,Cereals,Oatmeal]]"
28,54339,Trader Joe's Banana Bread Mix,"[[Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Breads]]"
29,52517,Trader Joe's Island Soyaki 20Oz (1LB 4Oz),"[[Grocery & Gourmet Food,Pantry Staples,Sauces, Gravies & Marinades,Sauces]]"
29,54340,Trader Joe's Apple &amp; Cinnamon Naturally Flavored Instant Oatmeal (2 Pack),"[[Grocery & Gourmet Food,Breakfast Foods,Cereals,Oatmeal]]"
29,39763,Trader Joe's Speculoos Cookie Butter,"[[Grocery & Gourmet Food,Pantry Staples,Condiments & Salad Dressings,Sandwich Spreads]]"
30,15131,Chocolate Bar Variety Pack - 30 ct,"[[Grocery & Gourmet Food,Candy & Chocolate,Candy & Chocolate Bars]]"
30,49394,"Nestle Chocolate Variety Pack, 20-Count Packages","[[Grocery & Gourmet Food,Candy & Chocolate,Candy & Chocolate Bars]]"
31,37488,"Del Monte Diced Tomatoes Basil, Garlic and Oregano, 14.5-Ounce (Pack of 8)","[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Vegetables,Tomatoes,Diced]]"
31,4368,"Le Sueur Early June Peas, 15-Ounce (Pack of 8)","[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Beans & Peas]]"
32,37837,"Crisco Pure Vegetable Oil, 128 Ounce (Pack of 4)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Vegetable]]"
32,24733,"Domino Sugar, Granulated, 10-Pound Bags","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Syrups, Sugars & Sweeteners,Sugars]]"
32,28447,Morton Iodized Salt 26oz,"[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Table Salt]]"
32,54625,Crisco Butter Flavor Non Stick Cooking Spray- 3 Pack,"[[Grocery & Gourmet Food,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Non-Stick Cooking Oil Sprays]]"
32,7196,Morton Iodized Table Salt - 4lb. box,"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Table Salt]]"
33,24733,"Domino Sugar, Granulated, 10-Pound Bags","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Syrups, Sugars & Sweeteners,Sugars]]"
33,28447,Morton Iodized Salt 26oz,"[[Grocery & Gourmet Food,Pantry Staples,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Table Salt]]"
33,7196,Morton Iodized Table Salt - 4lb. box,"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Salt & Salt Substitutes,Table Salt]]"
34,24870,"Celestial Seasonings Sugar Plum Spice, Christmas Herb Tea, 20 Count Teabagss (Pack of 6)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea]]"
34,36649,"Celestial Seasonings Herb Tea, Country Peach Passion, 20-Count Tea Bags (Pack of 6)","[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Herbal]]"
35,33910,"Nongshim Shin Noodle Ramyun Gourmet Spicy, 4.2-Ounce Packages, 20-Count","[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Asian Dishes]]"
35,33014,"Nongshim Shin Ramyun Black Noodle Soup, 4.58 Ounce Packages (Pack of 18)","[[Grocery & Gourmet Food,Soups, Stocks & Broths,Noodle Soups]]"
35,20066,"Nongshim Neoguri Spicy Seafood Noodle Ramyun, 4.2 Ounce Packages (Pack of 20)","[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Asian Dishes]]"
35,16611,"Nongshim Chapagetti Chajang Noodle, 4.5 Ounce (Pack of 24)","[[Grocery & Gourmet Food,Soups, Stocks & Broths,Asian Noodle Soups]]"
35,37457,Nong Shim Hot and Spicy Noodle Soup:Ansung Tangmyun,"[[Grocery & Gourmet Food,Soups, Stocks & Broths,Noodle Soups]]"
36,54759,"World Wide Gourmet Foods Snack Box, Deluxe Edition","[[Grocery & Gourmet Food,Food & Beverage Gifts,Snack Gifts]]"
36,54757,"Swerseys Chocolate 1940's-1970's Nostalgic Candy Assortment Gift Box, Number 62, 1.5 Pound","[[Grocery & Gourmet Food,Food & Beverage Gifts,Candy & Chocolate Gifts]]"
36,36351,"YummyEarth Organic Lollipops, Assorted Flavors, 5-Pound Bag","[[Grocery & Gourmet Food,Candy & Chocolate,Hard Candy & Lollipops,Suckers & Lollipops]]"
37,53385,"Sun Maid Fruit Bits, 7-Ounce Bags (Pack of 6)","[[Grocery & Gourmet Food,Produce,Dried Fruits & Vegetables,Dried Fruits]]"
37,3400,"Crunchies Freeze-Dried Fruit Snack, Pineapple, 1.5-Ounce Pouches (Pack of 6)","[[Grocery & Gourmet Food,Snack Foods,Fruit Snacks]]"
37,31470,NOW Foods SUNFLOWER SEEDS HULLED RAW 1 LB,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Nuts & Seeds,Sunflower Seeds]]"
38,13425,Raw Pepitas / No Shell Pumpkin Seeds (16oz bag),"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,Poppy Seed]]"
38,49250,"Jansal Valley Raw Slivered Almonds, 1 Pound","[[Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds]]"
38,31755,Oranges Slices: 5LBS,"[[Grocery & Gourmet Food,Candy & Chocolate,Jelly Beans & Gummy Candy,Gummy Candy]]"
39,27790,"Side Mates Traditional Couscous in Canister, Plain, 27 Ounce","[[Grocery & Gourmet Food,Dried Beans, Grains & Rice,Grains & Rice,Couscous]]"
39,13425,Raw Pepitas / No Shell Pumpkin Seeds (16oz bag),"[[Grocery & Gourmet Food,Herbs, Spices & Seasonings,Single Herbs & Spices,Poppy Seed]]"
39,49250,"Jansal Valley Raw Slivered Almonds, 1 Pound","[[Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds]]"
39,31470,NOW Foods SUNFLOWER SEEDS HULLED RAW 1 LB,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Nuts & Seeds,Sunflower Seeds]]"
40,49250,"Jansal Valley Raw Slivered Almonds, 1 Pound","[[Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds]]"
40,31755,Oranges Slices: 5LBS,"[[Grocery & Gourmet Food,Candy & Chocolate,Jelly Beans & Gummy Candy,Gummy Candy]]"
41,54380,"Good2Grow Fruit Juice, Strawberry Kiwi, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
41,54379,"Good2Grow Fruit Juice, Apple, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
41,54378,"Good2Grow Fruit Juice, Tropical Fruit Medley, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
42,46264,"So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened,  32-Ounce (Pack of 6)","[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
42,53783,"So Delicious - Chocolate Coconut Milk Beverage Single Serve &quot;Grab-and-Go&quot;, (Non Dairy + Soy Free + Gluten Free + Vegan), Buy TWENTYFOUR Units and SAVE, They come in Six, 4 Packs - Each Unit is 8 oz (Pack of 24)","[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
42,54377,So Delicious Vanilla Coconut Milk 32oz (Pack of 12),"[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
43,8094,Sambazon Blended Breakfast Smoothie 10.5 fl oz (12 Pack),"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices]]"
43,54377,So Delicious Vanilla Coconut Milk 32oz (Pack of 12),"[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
43,53783,"So Delicious - Chocolate Coconut Milk Beverage Single Serve &quot;Grab-and-Go&quot;, (Non Dairy + Soy Free + Gluten Free + Vegan), Buy TWENTYFOUR Units and SAVE, They come in Six, 4 Packs - Each Unit is 8 oz (Pack of 24)","[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
43,46264,"So Delicious Dairy Free - Organic Coconut Milk Beverage Organic Unsweetened,  32-Ounce (Pack of 6)","[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Coconut Milk Beverage]]"
43,54378,"Good2Grow Fruit Juice, Tropical Fruit Medley, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
43,54379,"Good2Grow Fruit Juice, Apple, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
43,54380,"Good2Grow Fruit Juice, Strawberry Kiwi, 6 Count (Pack of 4)","[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Juices,Fruit Juice]]"
44,17368,"Nutiva Organic Extra Virgin Coconut Oil, 15-Ounce (Pack of 2)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Coconut]]"
44,23344,"La Tourangelle Organic Canola Oil, 16.9-Ounce Tins (Pack of 3)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Canola]]"
45,23344,"La Tourangelle Organic Canola Oil, 16.9-Ounce Tins (Pack of 3)","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Oils,Canola]]"
45,47841,"Great River Organic Milling, Organic Specialty All Purpose Whole Wheat Flour, 25-Pound Package","[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Flours & Meals,Wheat Flours & Meals]]"
